# High-priority IME overlay. Same format as pinyin.dict.tsv.
bei jing	900000	北京
de	900000	的
le	900000	了
ni	900000	你
ni hao	900000	你好
shang hai	900000	上海
shen me	900000	什么
shi	900000	是
wo	900000	我
bu	800000	不
bu ke qi	800000	不客气
bu shi	800000	不是
dui bu qi	800000	对不起
hao	800000	好
jin tian	800000	今天
ke yi	800000	可以
mei you	800000	没有
na ge	800000	那个
pin yin	800000	拼音
ru guo	800000	如果
shu ru fa	2000000	输入法
suo yi	800000	所以
ta	800000	他
wei shen me	800000	为什么
wo ai ni	800000	我爱你
wo men	800000	我们
wo xiang	800000	我想
xian zai	800000	现在
xie xie	800000	谢谢
yi	800000	一
yi ge	800000	一个
yin wei	800000	因为
you	800000	有
zai	800000	在
zen me	800000	怎么
zhe ge	800000	这个
zhong guo	800000	中国
chi fan	700000	吃饭
dan shi	700000	但是
duo shao	700000	多少
hai shi	700000	还是
hao de	700000	好的
he	700000	和
ke	700000	可
ke shi	700000	可是
ming tian	700000	明天
ni men	700000	你们
qing wen	700000	请问
ran hou	700000	然后
ren	700000	人
shi jian	700000	时间
ta men	700000	他们
wo de	700000	我的
wo jue de	700000	我觉得
wo shi	700000	我是
wo yao	700000	我要
xue xi	700000	学习
you jian	700000	邮件
zhi dao	700000	知道
zuo tian	700000	昨天
ao men	600000	澳门
ce shi	600000	测试
chang sha	600000	长沙
cheng du	600000	成都
chong qing	600000	重庆
da lian	600000	大连
fu zhou	600000	福州
gong zuo	600000	工作
guang zhou	600000	广州
ha er bin	600000	哈尔滨
hang zhou	600000	杭州
he fei	600000	合肥
hen hao	600000	很好
ji nan	600000	济南
kan	600000	看
kun ming	600000	昆明
mei guan xi	600000	没关系
mei wen ti	600000	没问题
nan jing	600000	南京
neng bu neng	600000	能不能
nin hao	600000	您好
qing dao	600000	青岛
shen yang	600000	沈阳
shen zhen	600000	深圳
shi hou	600000	时候
shou ji	600000	手机
su zhou	600000	苏州
tai wan	600000	台湾
tian jin	600000	天津
tian qi	600000	天气
wo xiang qu	600000	我想去
wu han	600000	武汉
xi an	600000	西安
xi huan	600000	喜欢
xia men	600000	厦门
xiang gang	600000	香港
yi jing	600000	已经
yi xia	600000	一下
zai jian	600000	再见
zen me yang	600000	怎么样
zhe shi	600000	这是
zhe yang	600000	这样
zheng zhou	600000	郑州
bang wo	500000	帮我
bu hao	500000	不好
da kai	500000	打开
deng deng	500000	等等
dian nao	500000	电脑
fan yi	500000	翻译
he cha	500000	喝茶
ji dian	500000	几点
jin tian tian qi	500000	今天天气
ju zi	500000	句子
kai	500000	开
ke ai	500000	可爱
kuai	500000	快
ming zi	500000	名字
na yang	500000	那样
qing bang wo	500000	请帮我
qu bei jing	500000	去北京
ren min	500000	人民
sheng huo	500000	生活
shu ru	500000	输入
wan cheng	500000	完成
wang luo	500000	网络
wen jian	500000	文件
wo de ming zi	500000	我的名字
wo xiang chi	500000	我想吃
xia yu	500000	下雨
xian sheng	500000	先生
xian zai ji dian	500000	现在几点
xian zai ji dian le	500000	现在几点了
xiang qu	500000	想去
zhang san	500000	张三
zhong guo ren min	500000	中国人民
zuo ye	500000	作业
bu tai	400000	不太
ji dian le	400000	几点了
jin tian tian qi hen hao	400000	今天天气很好
li si	400000	李四
pin yin shu ru	400000	拼音输入
qing wen xian zai ji dian le	400000	请问现在几点了
wan cheng zuo ye	400000	完成作业
wo de ming zi shi	400000	我的名字是
wo jin tian xiang qu	400000	我今天想去
wo shi zhang san	400000	我是张三
wo yao xie yi feng you jian	400000	我要写一封邮件
yi feng	400000	一封
ying wen	400000	英文
zhe shi yi ge ce shi	400000	这是一个测试
zhong wen	400000	中文
qing ba zhe ge ju zi wan	300000	请把这个句子完
bu ke	200000	不可
cao chang	200000	操场
bei jing	120000	背景
shang hai	80000	伤害
ke yi shi shi	600000	可以试试
ke yi shi shi kan	800000	可以试试看
shi shi kan	500000	试试看
shi shi	400000	试试
huan	850000	换
huan	800000	欢
huan	750000	环
huan	600000	还
huan	550000	患
huan	500000	幻
huan	450000	缓
huan	400000	唤
huan	350000	焕
huan cun	2000000	缓存
